Raw Drug,Mechanism Of Action,drug_cleaned,drug_sponsor,standard_drug,synonym_cortellus,flag,synonym_list,drug_cleaned_cortellus,flag_synoymn_list,synonym_list_cleaned,Mapping_flag
apatinib,RET tyrosine kinase inhibitor; VEGFR-2 tyrosine kinase inhibitor; Angiogenesis inhibitor,apatinib,,rivoceranib mesylate,apatinib,fexact,"['VEGF receptor inhibitor (cancer)', 'Aitan', 'VEGFR2 receptor inhibitor (cancer), LSK/ Jiangsu Henrui/ Bukwang', 'rivoceranib', 'apatinib mesylate', 'apatinib', 'rivoceranib mesylate', 'VEGFR2 receptor inhibitor (uterine/cervical/ovarian cancer), Jiangsu Henrui', 'VEGFR2 receptor inhibitor (cancer), LSK/ Jiangsu Henrui/', 'YN-968D1']",rivoceranib mesylate,fexact,"['vegf receptor inhibitor cancer', 'aitan', 'vegfr2 receptor inhibitor cancer lsk jiangsu henrui bukwang', 'rivoceranib', 'apatinib mesylate', 'apatinib', 'rivoceranib mesylate', 'vegfr2 receptor inhibitor uterine cervical ovarian cancer jiangsu henrui', 'vegfr2 receptor inhibitor cancer lsk jiangsu henrui', 'yn 968d1']",correct_mapping
camrelizumab,PD-1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,camrelizumab,,camrelizumab,camrelizumab,fexact,"['SHR-1210', 'camrelizumab', 'recombinant humanized anti-PD1 antibody, Jiangsu Hengrui Pharmaceutical', 'PD-1 checkpoint inhibitor (cancer), Shanghai Hengrui Pharmaceutical//Atridia', 'INCSHR-1210', 'PD-1 checkpoint inhibitor (cancer),//Atridia', 'PD-1 checkpoint inhibitor (cancer), Shanghai Hengrui Pharmaceutical/Incyte/Atridia']",camrelizumab,fexact,"['shr 1210', 'camrelizumab', 'recombinant humanized anti pd1 antibody jiangsu hengrui pharmaceutical', 'pd 1 checkpoint inhibitor cancer shanghai hengrui pharmaceutical atridia', 'incshr 1210', 'pd 1 checkpoint inhibitor cancer atridia', 'pd 1 checkpoint inhibitor cancer shanghai hengrui pharmaceutical incyte atridia']",correct_mapping
JY-025,Vascular endothelial growth factor receptor 2 antagonist,JY-025,,JY-025,jy 025,fexact,"['JY-025', 'recombinant anti-VEGFR2 fully human monoclonal antibody (cancer)']",JY-025,fexact,"['jy 025', 'recombinant anti vegfr2 fully human monoclonal antibody cancer']",correct_mapping
palbociclib,Cyclin-dependent kinase 4 inhibitor; Cyclin-dependent kinase 6 inhibitor,palbociclib,,palbociclib,palbociclib,fexact,"['PF-332991', 'PD-0332991-00', 'cell cycle regulators', 'PD-0205606', 'palbociclib', 'cell cycle regulators,/Parke-Davis', 'PD-332991', 'palbociclib isethionate', 'PF-0332991', 'Aiboxin', 'PD-991', 'Ibrance', 'cell cycle regulators, Pfizer', 'cell cycle regulators,/', 'cell cycle regulators,/Pfizer', 'PD-0332991']",palbociclib,fexact,"['pf 332991', 'pd 0332991 00', 'cell cycle regulators', 'pd 0205606', 'palbociclib', 'cell cycle regulators parke davis', 'pd 332991', 'palbociclib isethionate', 'pf 0332991', 'aiboxin', 'pd 991', 'ibrance', 'cell cycle regulators pfizer', 'cell cycle regulators', 'cell cycle regulators pfizer', 'pd 0332991']",correct_mapping
binimetinib,Mitogen-activated protein kinase kinase 1 inhibitor; Mitogen-activated protein kinase kinase 2 inhibitor,binimetinib,,binimetinib,binimetinib,fexact,"['COMBO450', 'ONO-7703', 'MEK-1/2 inhibitors (tablet, inflammation, cancer)', 'Mektovi', 'binimetinib', 'MEK-162', 'ARRY-438162', 'ARRY-162', 'Balimek']",binimetinib,fexact,"['combo450', 'ono 7703', 'mek 1 2 inhibitors tablet inflammation cancer', 'mektovi', 'binimetinib', 'mek 162', 'arry 438162', 'arry 162', 'balimek']",correct_mapping
ociperlimab,TIGIT receptor antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,ociperlimab,,ociperlimab,ociperlimab,fexact,"['anti-TIGIT monoclonal antibody (advanced solid tumors)', 'ociperlimab', 'BGB-A1217', 'TIGIT checkpoint inhibitor (advanced solid tumors)']",ociperlimab,fexact,"['anti tigit monoclonal antibody advanced solid tumors', 'ociperlimab', 'bgb a1217', 'tigit checkpoint inhibitor advanced solid tumors']",correct_mapping
sargramostim,Granulocyte macrophage colony stimulating factor agonist,sargramostim,,sargramostim,sargramostim,fexact,"['GM-CSF,/', 'BI 61.012', 'GM-CSF, Berlex/Schering', 'GM-CSF,/Schering', 'GM-CSF, Immunex', 'GM-CSF, Behringwerke', 'SHL-04023', 'Prokine', 'GM-CSF', 'Leukine', 'sargramostim']",sargramostim,fexact,"['gm csf', 'bi 61 012', 'gm csf berlex schering', 'gm csf schering', 'gm csf immunex', 'gm csf behringwerke', 'shl 04023', 'prokine', 'gm csf', 'leukine', 'sargramostim']",correct_mapping
IBI-188,CD47 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,IBI-188,,letaplimab,ibi 188,fexact,"['CD47 checkpoint inhibitor (intravenous, advanced malignancies/cancer)', 'letaplimab', 'Letaplimab', 'IBI-188', 'CD47 checkpoint inhibitor (intravenous, advanced solid tumor/lymphomas/cancer)']",letaplimab,fexact,"['cd47 checkpoint inhibitor intravenous advanced malignancies cancer', 'letaplimab', 'letaplimab', 'ibi 188', 'cd47 checkpoint inhibitor intravenous advanced solid tumor lymphomas cancer']",correct_mapping
carboplatin,DNA inhibitor,carboplatin,,carboplatin,carboplatin,fexact,"['BMY-26575', 'Paraplatin', 'CBDCA', 'carboplatin']",carboplatin,fexact,"['bmy 26575', 'paraplatin', 'cbdca', 'carboplatin']",correct_mapping
cisplatin,DNA inhibitor; DNA synthesis inhibitor,cisplatin,,,,0,"['demplatin pegraglumer (injectable/micelle, pancreatic/bladder/NSCLC/biliary tract/head and neck/lung cancer/solid tumors),/Orient Europharma', 'cisplatin (injectable, micelle),/Orient Europharma', 'demplatin pegraglumer (injectable/micelle, pancreatic/bladder/NSCLC/biliary tract/head and neck/lung cancer/solid tumors), NanoCarrier/Orient Europharma', 'demplatin pegraglumer', 'cisplatin', 'cisplatin (injectable, micelle), NanoCarrier/', 'Nanoplatin', 'cisplatin (injectable, micelle),/', 'NC-6004', 'demplatin pegraglumer (injectable/micelle, pancreatic/bladder/nsclc/biliary tract/head and neck/lung cancer/solid tumors)', 'cisplatin (injectable, micelle), NanoCarrier/Orient Europharma', 'cisplatin (injectable, micelle)']",,NER_API,[],0
nab-paclitaxel,Beta tubulin inhibitor; Microtubule stimulant; Taxane,nab-paclitaxel,,"paclitaxel (albumin-bound nanoparticle, intravenous)",nab paclitaxel,fexact,"['paclitaxel (albumin-bound nanoparticle, intravenous), Celgene', 'nab-paclitaxel', 'Abraxus', 'paclitaxel (albumin-bound nanoparticle, intravenous), American Bioscience', 'ABI-007', 'Abraxane', 'Capxol', 'paclitaxel (albumin-bound nanoparticle, intravenous), American Pharmaceutical Partners', 'paclitaxel (albumin-bound nanoparticle, intravenous)', 'paclitaxel', 'paclitaxel (albumin-bound nanoparticle, intravenous),/Taiho', 'paclitaxel (albumin-bound nanoparticle, intravenous),/']","paclitaxel (albumin-bound nanoparticle, intravenous)",fexact,"['paclitaxel albumin bound nanoparticle intravenous celgene', 'nab paclitaxel', 'abraxus', 'paclitaxel albumin bound nanoparticle intravenous american bioscience', 'abi 007', 'abraxane', 'capxol', 'paclitaxel albumin bound nanoparticle intravenous american pharmaceutical partners', 'paclitaxel albumin bound nanoparticle intravenous', 'paclitaxel', 'paclitaxel albumin bound nanoparticle intravenous taiho', 'paclitaxel albumin bound nanoparticle intravenous']",correct_mapping
sintilimab,PD-1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,sintilimab,,sintilimab,sintilimab,fexact,"['anti-PD1 antibody (cancer),/Innovent', 'cindilizumab', 'PD-1 checkpoint inhibitor (cancer), Innovent/', 'PD-1 checkpoint inhibitor (cancer),/', 'xindili', 'anti-PD1 antibody (cancer),/', 'xindi', 'IBI-308', 'sintilimab', 'Tyvyt']",sintilimab,fexact,"['anti pd1 antibody cancer innovent', 'cindilizumab', 'pd 1 checkpoint inhibitor cancer innovent', 'pd 1 checkpoint inhibitor cancer', 'xindili', 'anti pd1 antibody cancer', 'xindi', 'ibi 308', 'sintilimab', 'tyvyt']",correct_mapping
penpulimab,PD-1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,penpulimab,,penpulimab,penpulimab,fexact,"['annike', 'PD-1 checkpoint inhibtor (cancer),/Chi Tai Tianqing Pharmaceutical', 'PD-1 checkpoint inhibitor (cancer)', 'penpulimab', 'AK-105']",penpulimab,fexact,"['annike', 'pd 1 checkpoint inhibtor cancer chi tai tianqing pharmaceutical', 'pd 1 checkpoint inhibitor cancer', 'penpulimab', 'ak 105']",correct_mapping
SNK-01,Immuno-oncology therapy,SNK-01,,SNK-01,snk 01,fexact,"['natural killer cell stimulator (SuperNK, cancer), NKMax America', 'natural killer cell stimulator (SuperNK, iv, cancer/psoriasis), NKMax America', 'autologous NK cell adoptive immunotherapy (SuperNK, iv, cancer/psoriasis/mild cognitive impairment/AD), NKMax America', 'SNK-01', 'autologous NK cell adoptive immunotherapy (SuperNK, iv, cancer/psoriasis/mild cognitive impairment/AD)', 'autologous NK cell adoptive immunotherapy (SuperNK, cancer), NKMax America', 'autologous NK cell adoptive immunotherapy (SuperNK, iv, cancer/psoriasis), NKMax America']",SNK-01,fexact,"['natural killer cell stimulator supernk cancer nkmax america', 'natural killer cell stimulator supernk iv cancer psoriasis nkmax america', 'autologous nk cell adoptive immunotherapy supernk iv cancer psoriasis mild cognitive impairment ad nkmax america', 'snk 01', 'autologous nk cell adoptive immunotherapy supernk iv cancer psoriasis mild cognitive impairment ad', 'autologous nk cell adoptive immunotherapy supernk cancer nkmax america', 'autologous nk cell adoptive immunotherapy supernk iv cancer psoriasis nkmax america']",correct_mapping
alvopem,Phosphoribosylglycinamide formyltransferase inhibitor; Thymidylate synthase inhibitor; Dihydrofolate reductase inhibitor,alvopem,,,,0,['alvopem'],,0,[],0
aprepitant (capsule),Neurokinin 1 receptor antagonist,aprepitant,,aprepitant,aprepitant,fexact,"['Emend', 'ONO-7436', 'L-754030', 'aprepitant', 'MK-869', 'MK-0869']",aprepitant,fexact,"['emend', 'ono 7436', 'l 754030', 'aprepitant', 'mk 869', 'mk 0869']",correct_mapping
HC-5404-FU,PERK inhibitor,HC-5404-FU,,HC-5404,hc 5404 fu,fexact,"['HC-5404-FU', 'HC-5404', 'hemi fumarate salt of HC-5404', 'protein kinase R–like endoplasmic reticulum kinase inhibitor (oral capsule, advanced solid tumor/renal cell carcinoma/gastric cancer/metastatic breast cancer/small-cell lung cancer)', 'PERK inhibitor (oral capsule, advanced solid tumor/renal cell carcinoma/gastric cancer/metastatic breast cancer/small-cell lung cancer)']",HC-5404,fexact,"['hc 5404 fu', 'hc 5404', 'hemi fumarate salt of hc 5404', 'protein kinase r like endoplasmic reticulum kinase inhibitor oral capsule advanced solid tumor renal cell carcinoma gastric cancer metastatic breast cancer small cell lung cancer', 'perk inhibitor oral capsule advanced solid tumor renal cell carcinoma gastric cancer metastatic breast cancer small cell lung cancer']",correct_mapping
phototherapy,Unidentified pharmacological activity,phototherapy,,,,0,['phototherapy'],,0,[],0
porfimer sodium (IV),Radical formation stimulant,porfimer sodium,,porfimer sodium,porfimer sodium,fexact,"['DHE', 'Photofrin', 'porfimer sodium', 'dihematoporphyrin ether', 'Photofrin 2', 'Photobarr', 'CL-184116']",porfimer sodium,fexact,"['dhe', 'photofrin', 'porfimer sodium', 'dihematoporphyrin ether', 'photofrin 2', 'photobarr', 'cl 184116']",correct_mapping
cytokine-induced killer cells,Unidentified pharmacological activity,cytokine-induced killer cells,,,,0,['cytokine-induced killer cells'],,0,[],0
tiragolumab,TIGIT receptor antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,tiragolumab,,tiragolumab,tiragolumab,fexact,"['TIGIT checkpoint inhibitor (OmniAb, solid tumor)', 'TIGIT checkpoint inhibitor (OmniAb, solid tumor), Genentech', 'MTIG-7192A', 'anti-TIGIT antibody (cancer), Roche', 'RG-6058', 'tiragolumab', 'anti-TIGIT antibody (cancer)', 'RO-7092284']",tiragolumab,fexact,"['tigit checkpoint inhibitor omniab solid tumor', 'tigit checkpoint inhibitor omniab solid tumor genentech', 'mtig 7192a', 'anti tigit antibody cancer roche', 'rg 6058', 'tiragolumab', 'anti tigit antibody cancer', 'ro 7092284']",correct_mapping
EU-101,CD137 agonist; Immuno-oncology therapy; Immune checkpoint stimulant,EU-101,,EU-101,eu 101,fexact,"['4-1BB costimulator (cancer),/', 'EU-101', 'NOV-1801', '4-1BB costimulator (cancer),/Zhejiang Huahai Pharmaceutical']",EU-101,fexact,"['4 1bb costimulator cancer', 'eu 101', 'nov 1801', '4 1bb costimulator cancer zhejiang huahai pharmaceutical']",correct_mapping
fluzoparib,Poly ADP ribose polymerase 2 inhibitor; Poly ADP ribose polymerase 1 inhibitor,fluzoparib,,fluazolepali,fluzoparib,fexact,"['PARP1/PARP2 inhibitor (oral, ovarian cancer), Jiangsu Hengrui Medicine', 'SHR-3162', 'fluazolepali', 'PARP1/PARP2 inhibitor (oral, ovarian cancer)', 'airuiyi', 'fluzoparib', 'poly ADP ribose polymerase 1/2 inhibitor (oral, ovarian cancer)', 'small molecule therapeutic (oral/capsule, undisclosed indication)', 'poly ADP ribose polymerase 1/2 inhibitor (oral, ovarian cancer), Jiangsu Hengrui Medicine']",fluazolepali,fexact,"['parp1 parp2 inhibitor oral ovarian cancer jiangsu hengrui medicine', 'shr 3162', 'fluazolepali', 'parp1 parp2 inhibitor oral ovarian cancer', 'airuiyi', 'fluzoparib', 'poly adp ribose polymerase 1 2 inhibitor oral ovarian cancer', 'small molecule therapeutic oral capsule undisclosed indication', 'poly adp ribose polymerase 1 2 inhibitor oral ovarian cancer jiangsu hengrui medicine']",correct_mapping
osimertinib,EGFR kinase inhibitor,osimertinib,,osimertinib,osimertinib,fexact,"['osimertinib mesylate', 'AZ-7550', 'osimertinib', 'AZ-5104', 'Tagrisso', 'osimertinib (T790M-mutation-targeting, NSCLC)', 'mereletinib', 'AZD-9291']",osimertinib,fexact,"['osimertinib mesylate', 'az 7550', 'osimertinib', 'az 5104', 'tagrisso', 'osimertinib t790m mutation targeting nsclc', 'mereletinib', 'azd 9291']",correct_mapping
lazertinib,EGFR kinase inhibitor,lazertinib,,lazertinib,lazertinib,fexact,"['YH-25448', 'pd-l1 checkpoint inhibitor (cancer),/', 'EGFR tyrosine kinase inhibitor (NSCLC), Yuhan/ Janssen Biotech', 'Leclaza', 'egfr tyrosine kinase inhibitor (cancer)', 'EGFR tyrosine kinase inhibitor (NSCLC),/', 'JNJ-1937', 'egfr tyrosine kinase inhibitors (cancer)', 'pd-l1 checkpoint inhibitor (cancer), /yuhan', 'GNS-1480', 'EGFR tyrosine kinase inhibitor (NSCLC), Yuhan/', 'pd-l1 checkpoint inhibitor (cancer),/yuhan', 'JNJ-73841937', 'lazertinib', 'EGFR tyrosine kinase inhibitors (cancer), Yuhan Corp']",lazertinib,fexact,"['yh 25448', 'pd l1 checkpoint inhibitor cancer', 'egfr tyrosine kinase inhibitor nsclc yuhan janssen biotech', 'leclaza', 'egfr tyrosine kinase inhibitor cancer', 'egfr tyrosine kinase inhibitor nsclc', 'jnj 1937', 'egfr tyrosine kinase inhibitors cancer', 'pd l1 checkpoint inhibitor cancer yuhan', 'gns 1480', 'egfr tyrosine kinase inhibitor nsclc yuhan', 'pd l1 checkpoint inhibitor cancer yuhan', 'jnj 73841937', 'lazertinib', 'egfr tyrosine kinase inhibitors cancer yuhan corp']",correct_mapping
CCI-001,Microtubule inhibitor; Tubulin inhibitor,CCI-001,,CCI-001,cci 001,fexact,"['tubulin beta 3 inhibitor (iv infusion, advanced solid tumors)', 'colchicine derivative (iv infusion, advanced solid tumors)', 'CCI-001', 'colchicine derivative (iv infusion, advanced solid tumors),/University of Alberta', 'tubulin beta 3 inhibitor (iv infusion, advanced solid tumors),/University of Alberta']",CCI-001,fexact,"['tubulin beta 3 inhibitor iv infusion advanced solid tumors', 'colchicine derivative iv infusion advanced solid tumors', 'cci 001', 'colchicine derivative iv infusion advanced solid tumors university of alberta', 'tubulin beta 3 inhibitor iv infusion advanced solid tumors university of alberta']",correct_mapping
magrolimab,CD47 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,magrolimab,,magrolimab,magrolimab,fexact,"['humanized anti-CD47 antibody (cancer), Stanford University//Oxford University', 'humanized anti-CD47 antibody (cancer), Stanford University//Oxford University/', 'magrolimab', 'cd47 checkpoint inhibitor (cancer), //oxford university', 'humanized anti-CD47 antibody (cancer), Stanford University//Oxford University/Ono', 'ONO-7913', 'humanized anti-cd47 antibody (cancer), //oxford university', 'CD47 checkpoint inhibitor (cancer), Stanford University//Oxford University', 'Hu5F9-G4', 'GS-4721']",magrolimab,fexact,"['humanized anti cd47 antibody cancer stanford university oxford university', 'humanized anti cd47 antibody cancer stanford university oxford university', 'magrolimab', 'cd47 checkpoint inhibitor cancer oxford university', 'humanized anti cd47 antibody cancer stanford university oxford university ono', 'ono 7913', 'humanized anti cd47 antibody cancer oxford university', 'cd47 checkpoint inhibitor cancer stanford university oxford university', 'hu5f9 g4', 'gs 4721']",correct_mapping
BI-3011441,Mitogen-activated kinase kinase inhibitor,BI-3011441,,BI-3011441,bi 3011441,fexact,"['mitogen-activated protein kinase inhibitor (oral, advanced solid tumor with RAS/BRAF mutation)', 'BI-3011441', 'LNP-3794', 'mitogen-activated protein kinase inhibitor (oral, advanced solid tumor with RAS/BRAF mutation), Lupin']",BI-3011441,fexact,"['mitogen activated protein kinase inhibitor oral advanced solid tumor with ras braf mutation', 'bi 3011441', 'lnp 3794', 'mitogen activated protein kinase inhibitor oral advanced solid tumor with ras braf mutation lupin']",correct_mapping
BI-1701963,K-Ras inhibitor; SOS Ras/Rac guanine nucleotide exchange factor 1 inhibitor,BI-1701963,,BI-1701963,bi 1701963,fexact,['BI-1701963'],BI-1701963,fexact,['bi 1701963'],correct_mapping
acapatamab,CD3 agonist; Immuno-oncology therapy,acapatamab,,AMG-160,acapatamab,fexact,"['acapatamab', 'AMG-160', 'anti-CD3/anti-PSMA bispecific T-cell engager (HLE-BiTE, prostate cancer)']",AMG-160,fexact,"['acapatamab', 'amg 160', 'anti cd3 anti psma bispecific t cell engager hle bite prostate cancer']",correct_mapping
trilaciclib,Cyclin-dependent kinase 4 inhibitor; Cyclin-dependent kinase 6 inhibitor,trilaciclib,,trilaciclib dihydrochloride,trilaciclib,fexact,"['trilaciclib', 'trilaciclib  (bone marrow suppression)', 'trilaciclib dihydrochloride', 'bone marrow suppression therapy (oral), G-Zero Therapeutics', 'G1T28-1 (iv, cancer/bone marrow suppression)', 'Cosela', 'G1T-100182', 'CDK4/6 inhibitors (bone marrow suppression), G-Zero Therapeutics', 'CDK4/6 inhibitors (bone marrow suppression)', 'G1T28-1', 'G1T-28']",trilaciclib dihydrochloride,fexact,"['trilaciclib', 'trilaciclib bone marrow suppression', 'trilaciclib dihydrochloride', 'bone marrow suppression therapy oral g zero therapeutics', 'g1t28 1 iv cancer bone marrow suppression', 'cosela', 'g1t 100182', 'cdk4 6 inhibitors bone marrow suppression g zero therapeutics', 'cdk4 6 inhibitors bone marrow suppression', 'g1t28 1', 'g1t 28']",correct_mapping
SHR-A1811,Unidentified pharmacological activity,SHR-A1811,,SHR-A1811,shr a1811,fexact,"['anti-HER2 mAb-cytotoxin conjugate (iv, advanced solid tumor)', 'SHR-A1811']",SHR-A1811,fexact,"['anti her2 mab cytotoxin conjugate iv advanced solid tumor', 'shr a1811']",correct_mapping
selpercatinib,RET tyrosine kinase inhibitor,selpercatinib,,selpercatinib,selpercatinib,fexact,"['RET inhibitor (cancer), Eli Lilly//', 'selpercatinib', 'R-002', 'RET inhibitor (cancer), Eli Lilly/Loxo Oncology at Lilly/', 'Retevmo', 'ret inhibitor (cancer), eli lilly', 'RET inhibitor (cancer), Eli Lilly/Loxo Oncology/', 'LY-3527723', 'Loxo-102', 'R-001', 'LOXO-292']",selpercatinib,fexact,"['ret inhibitor cancer eli lilly', 'selpercatinib', 'r 002', 'ret inhibitor cancer eli lilly loxo oncology at lilly', 'retevmo', 'ret inhibitor cancer eli lilly', 'ret inhibitor cancer eli lilly loxo oncology', 'ly 3527723', 'loxo 102', 'r 001', 'loxo 292']",correct_mapping
dacomitinib,EGFR kinase inhibitor; ErbB-2 tyrosine kinase inhibitor; ErbB-4 tyrosine kinase inhibitor; Tyrosine kinase inhibitor (TKI),dacomitinib,,dacomitinib,dacomitinib,fexact,"['PF-00299804', 'PF-0299804', 'PF-299804', 'Vizimpro', 'PF-05199265', 'PF-299', 'PF-804', 'dacomitinib (USAN)', 'dacomitinib']",dacomitinib,fexact,"['pf 00299804', 'pf 0299804', 'pf 299804', 'vizimpro', 'pf 05199265', 'pf 299', 'pf 804', 'dacomitinib usan', 'dacomitinib']",correct_mapping
pembrolizumab (SC),PD-1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,pembrolizumab,,pembrolizumab,pembrolizumab,fexact,"['PD-1 checkpoint inhibitor (cancer), Merck & Co', 'SCH-900475', 'lambrolizumab, Merck', 'MK-3475', 'pembrolizumab', 'lambrolizumab', 'PD-1 checkpoint inhibitor (cancer)', 'Keytruda']",pembrolizumab,fexact,"['pd 1 checkpoint inhibitor cancer merck co', 'sch 900475', 'lambrolizumab merck', 'mk 3475', 'pembrolizumab', 'lambrolizumab', 'pd 1 checkpoint inhibitor cancer', 'keytruda']",correct_mapping
spartalizumab,PD-1 antagonist; Immuno-oncology therapy; Immune checkpoint inhibitor,spartalizumab,,spartalizumab,spartalizumab,fexact,"['pd1 targeting immunotherapy program (cancer)', 'PD-1 checkpoint inhibitor (cancer), Novartis', 'anti-PD-1 antibody (advanced cancer), Novartis', 'spartalizumab', 'PD1 targeting immunotherapy program (cancer), Novartis AG', 'PD-1 checkpoint inhibitor (cancer)', 'PDR-001', 'anti-PD-1 antibody (advanced cancer)']",spartalizumab,fexact,"['pd1 targeting immunotherapy program cancer', 'pd 1 checkpoint inhibitor cancer novartis', 'anti pd 1 antibody advanced cancer novartis', 'spartalizumab', 'pd1 targeting immunotherapy program cancer novartis ag', 'pd 1 checkpoint inhibitor cancer', 'pdr 001', 'anti pd 1 antibody advanced cancer']",correct_mapping
